rank,mouse,group,factor1_withdrawal,factor2_reexposure,composite_raw,addiction_score_0to100
0,0910_black,Active,0.8112,1.0681,0.9397,100.0
1,6100_black,Active,0.8946,0.7726,0.8336,95.2
2,0911_white,Active,1.9276,-0.3621,0.7827,92.9
3,6099_black,Active,0.0392,1.4162,0.7277,90.4
4,0911_red,Active,-0.5001,1.7747,0.6373,86.4
5,6099_orange,Active,0.6214,0.3916,0.5065,80.5
6,6100_orange,Passive,1.3426,-1.478,-0.0677,54.6
7,6099_white,Passive,-0.1292,-0.1233,-0.1263,51.9
8,6100_red,Passive,-1.2182,0.5,-0.3591,41.4
9,0910_orange,Passive,-0.8233,-0.1217,-0.4725,36.3
10,0910_red,Passive,-0.3137,-0.7519,-0.5328,33.6
11,0911_orange,Passive,0.1906,-1.431,-0.6202,29.7
12,0911_black,Passive,-1.5475,-0.3947,-0.9711,13.8
13,6099_red,Passive,-1.2951,-1.2605,-1.2778,0.0
