period_A,period_B,accuracy
Pre,During,0.9910714285714286
Pre,Post,0.9880952380952381
Pre,Withdrawal,1.0
Pre,Re-exposure,1.0
During,Pre,0.9910714285714286
During,Post,0.9464285714285714
During,Withdrawal,0.9724770642201835
During,Re-exposure,1.0
Post,Pre,0.9880952380952381
Post,During,0.9464285714285714
Post,Withdrawal,0.9506172839506173
Post,Re-exposure,0.9558823529411765
Withdrawal,Pre,1.0
Withdrawal,During,0.9724770642201835
Withdrawal,Post,0.9382716049382716
Withdrawal,Re-exposure,0.8615384615384616
Re-exposure,Pre,1.0
Re-exposure,During,1.0
Re-exposure,Post,0.9558823529411765
Re-exposure,Withdrawal,0.8615384615384616
